gold_summary,model_summary,session_key
I own a Jeep. I live semi-close towkr. I don't own a car. I enjoy running and walking. I live in a small town. I enjoy exercising at the gym. I'm a computer programmer. I have a marketing job. I like grilling steak. I don't eat meat. I am from Alaska. I am from New England. I like wearing warm pants. I like warm pants in winter.,"What kind of car do you own? I have a jeep. I don't own my own car! I actually really enjoying walking and running, but then again, I live in a small town and semi-close to work. Ah I see! I like going to the gym to work out. I'm a computer programmer. What do you do for work. I work in marketing. Do you have any hobbies? I love to grill! I love meat, especially steak. Oh neat! I don't eat meat but I do like some grilled veggies. My family is from alaska. Where are you from? I'm from new england. It must be cold up there. It's so cold! I think thats why I love wearing warm pants!",test_0_1
I go on runs. I may join the gym. I like to go to the gym. It rains a lot where I live. I might get a treadmill. There is a new gym near me. There are no running clubs near me.,"Yes I actually was able too. I am considering joining the local gym. Do you prefer going to the gym? I do actually.  I like the controlled environment. I don't want to have to depend on the weather consider where I live.   Thats why i am thinking about it. I hate to have to run when its raining, and I feel like it rains here all the time.  I am defiantly considering getting one. Im just trying to figure out what i would do more. Go to the gym and actually do more than just running, or sticking to what i know and getting a treadmill.  Oh, that's true. I hadn't thought about all of that.  You're right. With a gym there is a whole lot of options for what you can do.  Do you have some good gyms near you?",test_0_2
I go to the gym. I'm a pretty plain person. I lift weights at the gym. It rains a lot where I live. I like to run. I live in New England. I come from Alaska.,"Yeah, I did. I'm not sure I like the vibe there, though.  The folks there seemed to care more about how they looked than working out. It was a little too trendy for me. I'm pretty plain. Yeah, I've heard good things about that, too. I like the idea of a multi-exercise piece of equipment. As long as the weather isn't too bad, then I prefer to go for a run. But since it rains quite a bit here, I like the idea of an inside option. How is the weather in New England? Yes, I've heard about the fall colors. I may get there one day. Yes, we have seasons, rain, lighter rain, summer, and more rain! Ha! Haha! I lived overseas in the tropics once. Sounds just like it! The tropics sound great. It's not as warm as the tropics, but I like it. I'm from Alaska, so I'm pretty weather-tough.",test_0_3
"I am joining a gym near me. I belong to a gym. I run. I am looking forward to getting in shape. I like to work out alone, without a workout partner. I prefer to work out alone. I do not find my job very interesting. I have a job. I work as a programmer. I am tired of sitting in front of a computer all day. I work from 8 to 5.","Yes, I am joining the one near me. It is open 24 hours so I can go whenever I want. Have you kept up with going to the gym? Oh nice! Is it new or just been hiding under the radar? I just did an arm day at the gym yesterday! This is a new gym, I am looking forward to getting into shape. Do you have a workout partner or do you workout by yourself? I am sure you don't have a long way to go with all that running you do. I work out alone. I like the solitude at the gym. There are other people but I can zone out and it is just me and my weights. I am the same way, I prefer to workout alone. So how is your job going? I still like what I do but I am getting tired of sitting in front of the computer all day, especially with the beautiful summer weather. I am signing up later today. I am able to get outdoors after work but it would be nice to spend daytime hours outside. Do you spend much time outdoors? No, we are an 8-5 organization so I need to be available throughout the day.",test_0_4
Music brings me a lot of joy. I like country music. I compose music. My friends and I saw Randy Travis in concert. I'm trying to cut down on my spending. I love to shop online for knick knacks and items for my children. I have kids. I'm currently not working.,"Yes, you could say it is a great source of joy for me. Do you have a favorite genre? I enjoy country music. Everything really, I compose as well as listening to it. Have you been to a concert? Wow that's awesome. I've been to a randy travis concert before. I went with friends. It was pretty fun. Have you went to any? I get that I love online shopping but gotta to be careful not get carried away! Stuff for my kids and knick knacks. I'm not working currently so I'm scaling back.",test_10_1
I am looking for a job. I have a shopping addiction. I spend too much money. I have a shopping addiction. I would like to find a job in a call center or data entry. I would like to work from home. I have school aged children. I am not currently working. My brother is married with children. I have a brother. I recently got an email saying I was hired for a data entry job.,I've decided to start looking for work to pay for my shopping addiction. Omg i should do the same thing i cant help but keep spending way too much. What sort of job are you looking for? Somthing at a call center or doing data entry. I think working retail would defeat the purpose of me getting a job. But maybe they will give you discount if you work in retail at least that way you wouldn't have to spend so much. But yeah something in data entry seems to be a good choice. That is what I am afraid of. Store employee discounts Hahah. With Call center and Data Entry I can do it remotely from home and that would be best since I have school age children.  Yes it is very hard to find a good job that can work around children. But that sound like it would be perfect. Most at home jobs are super flexible when it come to what hours you work.  Exactly. It is why I am not currently working and the cost of proper Day care these days is ridiculous.   Exactly kinda of no point in working as you literally working to pay them to watch your kids and basically have no income left over.  Yup. My brother and sister in law had to pay so much for Daycare that it was actually going to save them money if my SIL quit her job and stayed home with the kids.  You would think they would help out with people that actually wanted to work. Oh well the system is just a little behind logic i guess. I agree.  I just got an email saying I got the Remote Data entry job. YAY go me.   ,test_10_2
I have software to teach me my new job. I just got a new job in data entry. I need to make money. I have a love for shopping. I like to shop. I shop for random items. I like to buy collectibles. I have bought Precious Moment figurines. I shop for kids clothing. I have kids. I do not know what Precious Moment figurines are. I have a curio cabinet to display my figurine collection. I enjoy searching for figurines. I like to spoil myself when I shop. I spend a lot of money on shoes. I have 20 pairs of sandals. I like to buy shoes. I like sandals. I like to buy basketball shoes. I don't wear all the shoes I have. I feel guilty sometimes that I am fortunate to be able to spoil myself with shoes.,"I just received the training software for the data entry job I was hired for and looks like I have a lot to learn.  Well, I do need to make money somehow. How else can I feed my love of shopping? Kidding. Kind of. Eh, I'm always looking at random things, like collectibles and things I think my kids would like. I think the last thing I bought was an old Precious Moments figure. Remember those? I also bought some clothes for my kids during this great sale.  They're ceramic figures of little kids being cute, basically. I have a curio cabinets with figures and other knickknacks inside. Those are for me - I just like looking at them.  I totally understand, I like to buy things myself. I'm spend way too much money on shoes Oooh, I like shoes, too. Especially cute sandals. I think I probably have 20 pairs of sandals. What do you have the most of?",test_10_3
I'm familiar with charities. I have a lot of shoes. I have experience with donating clothes. I want to donate clothes. I have  tendency to keep items too long. I have children. I've donated my children's old clothes. I go shopping. I look in antique stores. I have Precious Moments figurines I bought online. I go into clothing and shoe stores.,"You know, I have! I was talking to my friend about it and she said she thought that would be gross! I was really disappointed, because I thought it would be helpful. Do you have any suggestions of where I could take them? I would say check your community for local thrift stores or donation centers, they usually are very accomodating and many help out those who need clothes donations. I have, but mostly items belonging to my family like my children's old clothes. They tend to grow out of it so fast it makes sense for me to donate it them to those that need it as oppose to throwing them away. I in particular have a tendency to keep my items much longer until they are unsuitable for donation. I mostly look online to find them being sold that I can ship to my house, they are sold often on marketplace stores such as Ebay or Amazon. I also look in antique stores for them, sometimes I find one that I can add to my collection. Ya, I'm probably not looking in the right kind of stores. I'm mostly going into clothing and shoe stores. But hey! You mentioned antique stores...I wonder if they have any at the thrift stores. I could look when I drop off my shoes!",test_10_4
I am a single male. I am grilling steaks. I have a new house. I enjoy the outdoors. I don't sing. I like to read. I have two dogs who like hot dogs. I am not a dancer. I police the mall near my home. I want to stay single and not marry. I need furniture for my house. I don't have children. I have no children. I have two dogs who like steak. I don't paint. I love dogs.,"Hi there I'm a single male, what about you? I am grilling steaks in my new house as we speak. You sing?. No, I don't sing though I enjoy the outdoors and I like to read. Great! I have two dogs who love hot dogs too. You dance? No I'm not a dancer either, maybe that's why I'm still single. Funny! I police the mall near my home. You work? I'm working on staying single and not marrying. I see. I need new furniture for my unfinished house. Any ideas? Do you have children, I don't and maybe that should be considered regarding furniture choices. No children here. I have two dogs who love steaks like me. You paint? I don't paint, but I do love dogs.",test_100_1
I have dogs. I need to shop for furniture. I just moved into a new house 3 days ago. My new house is very spacious. I plan to make a room just for my dogs. I have a lot of books. I live in an apartment. I like dogs. I don't have any dogs. I want to have a room for a library. I like cats. I like cats.,"About 3 days now! I've been trying to shop for furniture and other items, especially for my dogs. What are you going to do with all that space? An entertainment room? A workout room? A library? I'm gonna make a room just for my dogs! You are welcome to come and help decorate or play with my dogs! Oh, I will. Does next Saturday work for you, say about 10 in the morning? I know what I would do: I'm being crowded out of my apartment by all the books. It would have to be a library room for me. I love dogs, but that's why I don't have any! I would be knee-deep in shredded literature! Yep, and when I buy a home, that's what I'll do. But in the apartment it's just one big room. Dogs and books could not co-exist peacefully! For the moment, give me a nice, quiet pussycat! Haha a cat would be great for an apartment. Much easier to care for than dogs.",test_100_2
